topik	text
2	Van der Bellen ugyancsak a Néppártot tette felelőssé a tárgyalások megszakadásáért .
2	Az ÖVP-vel folytatott tárgyalások megszakadása miatt nagyon csalódott , de a Néppárt mindig újabb követelésekkel állt elő és újabb akadályokat gördített a megállapodás elé .
7	Korántsem előzmény nélkül határoztak így , ugyanis néhány órával korábban Wolfgang Schüssel a tárgyalásokat eddig övező homályt megtörve kijelentette : az új kormányban mindenekelőtt a pénzügyi tárrca vezetését szeretnék megkapni , vagy legalábbis független szakértőre bízni .
2	Mint ismert , az osztrák államfő mindent megtett a vörös-fekete koalíció megújításáért , és kizártnak tartja a külföldön szalonképtelennek tartott Jörg Haider vezette Szabadságpárt kormányra kerülését .
2	Mint ismert , az osztrák államfő mindent megtett a vörös-fekete koalíció megújításáért , és kizártnak tartja a külföldön szalonképtelennek tartott Jörg Haider vezette Szabadságpárt kormányra kerülését .
6	""" Az államfő megértette , hogy nem sikerült parlamenti többséggel rendelkező kormányt alakítanom "" jellemezte megbeszélésüket az SPÖ első embere ."
2	A helyzet kulcsa tehát a már eddig is több váratlan döntést meghozó Klestil államfő kezében volt .
2	Az ÖVP-vel folytatott tárgyalások megszakadása miatt nagyon csalódott , de a Néppárt mindig újabb követelésekkel állt elő és újabb akadályokat gördített a megállapodás elé .
5	Az osztrák alkotmány szerint az államfő rendkívül széles jogkörrel rendelkezik a kormány kinevezését illetően , Klestil akár pártokon kívüli embernek is adhatna miniszterelnöki megbízást .
6	A szociáldemokraták és a Néppárt közötti koalíció meghiúsulásával Ausztria kényes helyzet előtt áll .
6	""" Az államfő megértette , hogy nem sikerült parlamenti többséggel rendelkező kormányt alakítanom "" jellemezte megbeszélésüket az SPÖ első embere ."
2	Van der Bellen ugyancsak a Néppártot tette felelőssé a tárgyalások megszakadásáért .
2	A befektetők túl hamar megjelentek a magyar piacon , hogy a pozícióharcban elfoglalják állásaikat - mondta Friedmann úr .
5	Dobai úr szerint az emeleten két ötven négyzetméteres és egy száz m2-es üzlet üres , a földszinten nincs kiadó hely .
5	Jakov Erez igazgató elmondta : a földszinten 30 DM / m2 / hó + 8 DM / m2 / hó szolgáltatási díjért lehet üzletet bérelni , az emeleten 47 DM / m2 / hó + 8 DM / m2 / hó szolgáltatási díj a tarifa .
5	Plázák adatai : Westend City Center A bérleti díj átlagosan 800-1000 dollár / m2 / év , ( 165,61916 DM / m2 / hó ) Duna Pláza A bérleti díj ott az üzletek méretétének függvénye , átlagosan 50-60 márka havonta négyzetméterenként , ehhez adódik a hét-tíz márkás közös költség .
6	Dobai úr szerint Magyarországon a kereskedők két-három évre terveznek , szemben a nyugati üzletemberekkel , akik tíz-húsz évben gondolkodnak .
5	Süba Bevásárlóközpont : A bérleti díj ott a földszint 30-40 német márka / m2 , az emelet : 15 német márka / m2 .
2	Antalffy Gábor , a Kereskedők és Vendéglátók Országos Érdekképviseleti Szövetségének ( KISOSZ ) titkára szerint a bevásárlóközpontok esetében három érdek ütközik .
7	Éles Károly úgy véli , egy módon lehet megtartani a pozíciót : rugalmas nyitva tartással ( az első üzletük hétkor nyit , az utolsó tízkor zár ) és speciális szolgáltatásokkal .
5	Lurdy Ház : A bérleti díj a földszinten : átlagosan 64 DM / m2 / hó , az emeleten 45 DM / m2 / hó .
